;model_paths;pruning_type;model_type;gpd_base;seed;finetuned;dataset;metric;metric_used
156;models/CIFAR10\VGG16_CIFAR10_SenpisFaster_PD3_GPD-20_PRUNED_FT_SEED_23.pth;SenpisFaster;PD3;20;23;True;CIFAR10;94.99;accuracy
157;models/CIFAR10\VGG16_CIFAR10_SenpisFaster_PD3_GPD-20_PRUNED_SEED_23.pth;SenpisFaster;PD3;20;23;False;CIFAR10;89.91;accuracy
158;models/CIFAR10\VGG16_CIFAR10_SenpisFaster_PD3_GPD-30_PRUNED_FT_SEED_23.pth;SenpisFaster;PD3;30;23;True;CIFAR10;94.67;accuracy
159;models/CIFAR10\VGG16_CIFAR10_SenpisFaster_PD3_GPD-30_PRUNED_SEED_23.pth;SenpisFaster;PD3;30;23;False;CIFAR10;75.88;accuracy
160;models/CIFAR10\VGG16_CIFAR10_SenpisFaster_PD3_GPD-50_PRUNED_FT_SEED_23.pth;SenpisFaster;PD3;50;23;True;CIFAR10;93.57;accuracy
161;models/CIFAR10\VGG16_CIFAR10_SenpisFaster_PD3_GPD-50_PRUNED_SEED_23.pth;SenpisFaster;PD3;50;23;False;CIFAR10;10;accuracy
162;models/CIFAR10\VGG16_CIFAR10_SenpisFaster_PD1_GPD-20_PRUNED_FT_SEED_23.pth;SenpisFaster;PD1;20;23;True;CIFAR10;94.63;accuracy
163;models/CIFAR10\VGG16_CIFAR10_SenpisFaster_PD1_GPD-20_PRUNED_SEED_23.pth;SenpisFaster;PD1;20;23;False;CIFAR10;89.21;accuracy
164;models/CIFAR10\VGG16_CIFAR10_SenpisFaster_PD1_GPD-30_PRUNED_FT_SEED_23.pth;SenpisFaster;PD1;30;23;True;CIFAR10;94.62;accuracy
165;models/CIFAR10\VGG16_CIFAR10_SenpisFaster_PD1_GPD-30_PRUNED_SEED_23.pth;SenpisFaster;PD1;30;23;False;CIFAR10;59.53;accuracy
166;models/CIFAR10\VGG16_CIFAR10_SenpisFaster_PD1_GPD-50_PRUNED_FT_SEED_23.pth;SenpisFaster;PD1;50;23;True;CIFAR10;93.01;accuracy
167;models/CIFAR10\VGG16_CIFAR10_SenpisFaster_PD1_GPD-50_PRUNED_SEED_23.pth;SenpisFaster;PD1;50;23;False;CIFAR10;9.99;accuracy
168;models/CIFAR10\VGG16_CIFAR10_SenpisFaster_PD5_GPD-20_PRUNED_FT_SEED_23.pth;SenpisFaster;PD5;20;23;True;CIFAR10;94.82;accuracy
169;models/CIFAR10\VGG16_CIFAR10_SenpisFaster_PD5_GPD-20_PRUNED_SEED_23.pth;SenpisFaster;PD5;20;23;False;CIFAR10;80.05;accuracy
170;models/CIFAR10\VGG16_CIFAR10_SenpisFaster_PD5_GPD-30_PRUNED_FT_SEED_23.pth;SenpisFaster;PD5;30;23;True;CIFAR10;94.23;accuracy
